resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId,status_supercategory
232,1118,840,117,18,17,12.0,12,12,0,24,+39.478,1846687.0,3.0,1:15.467,1,Término Competitivo
233,1118,842,214,10,13,13.0,13,13,0,24,+40.621,1847830.0,3.0,1:15.209,1,Término Competitivo
234,1118,839,214,31,16,14.0,14,14,0,24,+42.848,1850057.0,3.0,1:15.536,1,Término Competitivo
235,1118,848,3,23,19,15.0,15,15,0,24,+43.394,1850603.0,3.0,1:15.598,1,Término Competitivo
236,1118,825,210,20,11,16.0,16,16,0,24,+56.507,1863716.0,3.0,1:15.464,1,Término Competitivo
237,1118,855,51,24,18,17.0,17,17,0,24,+58.723,1865932.0,3.0,1:15.837,1,Término Competitivo
238,1118,807,210,27,12,18.0,18,18,0,24,+1:00.330,1867539.0,3.0,1:15.472,1,Término Competitivo
239,1118,822,51,77,14,19.0,19,19,0,24,+1:00.749,1867958.0,3.0,1:15.738,1,Término Competitivo
240,1118,858,3,2,20,20.0,20,20,0,24,+1:00.945,1868154.0,4.0,1:15.496,1,Término Competitivo
241,1125,830,9,1,4,1.0,1,1,8,19,32:04.660,1924660.0,3.0,1:40.331,1,Término Competitivo
242,1125,1,131,44,2,2.0,2,2,7,19,+13.043,1937703.0,3.0,1:40.420,1,Término Competitivo
243,1125,815,9,11,6,3.0,3,3,6,19,+15.258,1939918.0,4.0,1:41.065,1,Término Competitivo
244,1125,844,6,16,7,4.0,4,4,5,19,+17.486,1942146.0,4.0,1:41.003,1,Término Competitivo
245,1125,832,6,55,5,5.0,5,5,4,19,+20.696,1945356.0,4.0,1:40.962,1,Término Competitivo
246,1125,846,1,4,1,6.0,6,6,3,19,+22.088,1946748.0,4.0,1:40.951,1,Término Competitivo
247,1125,857,1,81,8,7.0,7,7,2,19,+24.713,1949373.0,3.0,1:41.107,1,Término Competitivo
248,1125,847,131,63,11,8.0,8,8,1,19,+25.696,1950356.0,5.0,1:41.505,1,Término Competitivo
249,1125,855,15,24,10,9.0,9,9,0,19,+31.951,1956611.0,4.0,1:41.502,1,Término Competitivo
250,1125,825,210,20,12,10.0,10,10,0,19,+37.398,1962058.0,5.0,1:42.092,1,Término Competitivo
251,1125,817,215,3,14,11.0,11,11,0,19,+37.840,1962500.0,6.0,1:42.234,1,Término Competitivo
252,1125,822,15,77,9,12.0,12,12,0,19,+38.295,1962955.0,6.0,1:42.140,1,Término Competitivo
253,1125,839,214,31,17,13.0,13,13,0,19,+39.841,1964501.0,4.0,1:42.191,1,Término Competitivo
254,1125,840,117,18,15,14.0,14,14,0,19,+40.299,1964959.0,5.0,1:42.258,1,Término Competitivo
255,1125,842,214,10,16,15.0,15,15,0,19,+40.838,1965498.0,4.0,1:42.017,1,Término Competitivo
256,1125,852,215,22,19,16.0,16,16,0,19,+41.870,1966530.0,4.0,1:42.056,1,Término Competitivo
257,1125,848,3,23,18,17.0,17,17,0,19,+42.998,1967658.0,8.0,1:42.389,1,Término Competitivo
258,1125,858,3,2,20,18.0,18,18,0,19,+46.352,1971012.0,7.0,1:42.516,1,Término Competitivo
259,1125,807,210,27,13,19.0,19,19,0,19,+49.630,1974290.0,5.0,1:42.315,1,Término Competitivo
260,1125,4,117,14,3,20.0,20,20,0,17,,,3.0,1:40.537,31,Procedimento/Regulamentação
261,1126,830,9,1,1,1.0,1,1,8,19,31:31.383,1891383.0,4.0,1:30.415,1,Término Competitivo
262,1126,844,6,16,2,2.0,2,2,7,19,+3.371,1894754.0,4.0,1:30.807,1,Término Competitivo
263,1126,815,9,11,3,3.0,3,3,6,19,+5.095,1896478.0,19.0,1:30.921,1,Término Competitivo
264,1126,817,215,3,4,4.0,4,4,5,19,+14.971,1906354.0,4.0,1:31.505,1,Término Competitivo
265,1126,832,6,55,5,5.0,5,5,4,19,+15.222,1906605.0,17.0,1:31.568,1,Término Competitivo
266,1126,857,1,81,6,6.0,6,6,3,19,+15.750,1907133.0,19.0,1:31.393,1,Término Competitivo
267,1126,807,210,27,10,7.0,7,7,2,19,+22.054,1913437.0,8.0,1:31.963,1,Término Competitivo
268,1126,852,215,22,15,8.0,8,8,1,19,+29.816,1921199.0,16.0,1:31.844,1,Término Competitivo
269,1126,842,214,10,16,9.0,9,9,0,19,+31.880,1923263.0,6.0,1:32.148,1,Término Competitivo
270,1126,858,3,2,18,10.0,10,10,0,19,+34.355,1925738.0,6.0,1:32.192,1,Término Competitivo
271,1126,855,15,24,17,11.0,11,11,0,19,+35.078,1926461.0,7.0,1:32.131,1,Término Competitivo
272,1126,847,131,63,11,12.0,12,12,0,19,+35.755,1927138.0,8.0,1:32.173,1,Término Competitivo
273,1126,848,3,23,20,13.0,13,13,0,19,+36.086,1927469.0,6.0,1:32.223,1,Término Competitivo
274,1126,822,15,77,19,14.0,14,14,0,19,+36.892,1928275.0,7.0,1:32.462,1,Término Competitivo
275,1126,839,214,31,13,15.0,15,15,0,19,+37.740,1929123.0,19.0,1:32.218,1,Término Competitivo
276,1126,1,131,44,12,16.0,16,16,0,19,+49.347,1940730.0,16.0,1:31.830,1,Término Competitivo
277,1126,4,117,14,8,17.0,17,17,0,19,+59.409,1950792.0,7.0,1:32.355,1,Término Competitivo
278,1126,825,210,20,14,18.0,18,18,0,19,+1:06.303,1957686.0,5.0,1:32.113,1,Término Competitivo
279,1126,840,117,18,7,19.0,19,19,0,1,,,,,31,Procedimento/Regulamentação
280,1126,846,1,4,9,20.0,20,20,0,0,,,,,31,Procedimento/Regulamentação
281,1131,830,9,1,1,1.0,1,1,8,23,26:41.389,1601389.0,8.0,1:09.013,1,Término Competitivo
282,1131,857,1,81,3,2.0,2,2,7,23,+4.616,1606005.0,2.0,1:08.980,1,Término Competitivo
283,1131,846,1,4,2,3.0,3,3,6,23,+5.348,1606737.0,2.0,1:08.935,1,Término Competitivo
284,1131,847,131,63,4,4.0,4,4,5,23,+8.354,1609743.0,4.0,1:09.194,1,Término Competitivo
285,1131,832,6,55,5,5.0,5,5,4,23,+9.989,1611378.0,4.0,1:09.121,1,Término Competitivo
286,1131,1,131,44,6,6.0,6,6,3,23,+11.207,1612596.0,5.0,1:09.265,1,Término Competitivo
287,1131,844,6,16,10,7.0,7,7,2,23,+13.424,1614813.0,5.0,1:09.352,1,Término Competitivo
288,1131,815,9,11,7,8.0,8,8,1,23,+17.409,1618798.0,4.0,1:09.420,1,Término Competitivo
289,1131,825,210,20,11,9.0,9,9,0,23,+24.067,1625456.0,13.0,1:09.942,1,Término Competitivo
290,1131,840,117,18,12,10.0,10,10,0,23,+30.175,1631564.0,11.0,1:10.260,1,Término Competitivo
291,1131,839,214,31,8,11.0,11,11,0,23,+30.839,1632228.0,9.0,1:10.254,1,Término Competitivo
292,1131,842,214,10,9,12.0,12,12,0,23,+31.308,1632697.0,10.0,1:10.168,1,Término Competitivo
293,1131,852,215,22,14,13.0,13,13,0,23,+35.452,1636841.0,5.0,1:10.363,1,Término Competitivo
294,1131,817,215,3,16,14.0,14,14,0,23,+39.397,1640786.0,5.0,1:10.480,1,Término Competitivo
295,1131,4,117,14,13,15.0,15,15,0,23,+43.155,1644544.0,5.0,1:10.393,1,Término Competitivo
296,1131,858,3,2,15,16.0,16,16,0,23,+44.076,1645465.0,6.0,1:10.488,1,Término Competitivo
297,1131,848,3,23,0,17.0,17,17,0,23,+44.673,1646062.0,8.0,1:10.562,1,Término Competitivo
298,1131,822,15,77,18,18.0,18,18,0,23,+46.511,1647900.0,8.0,1:10.590,1,Término Competitivo
299,1131,807,210,27,17,19.0,19,19,0,23,+48.423,1649812.0,4.0,1:10.512,1,Término Competitivo
300,1131,855,15,24,19,20.0,20,20,0,23,+53.143,1654532.0,6.0,1:10.613,1,Término Competitivo
301,1139,830,9,1,1,1.0,1,1,8,19,31:06.146,1866146.0,19.0,1:37.463,1,Término Competitivo
302,1139,832,6,55,5,2.0,2,2,7,19,+3.882,1870028.0,19.0,1:37.552,1,Término Competitivo
303,1139,846,1,4,4,3.0,3,3,6,19,+6.240,1872386.0,17.0,1:38.045,1,Término Competitivo
304,1139,844,6,16,3,4.0,4,4,5,19,+6.956,1873102.0,11.0,1:37.748,1,Término Competitivo
305,1139,847,131,63,2,5.0,5,5,4,19,+15.766,1881912.0,4.0,1:38.301,1,Término Competitivo
306,1139,1,131,44,7,6.0,6,6,3,19,+18.724,1884870.0,17.0,1:38.372,1,Término Competitivo
307,1139,825,210,20,8,7.0,7,7,2,19,+25.161,1891307.0,6.0,1:38.602,1,Término Competitivo
308,1139,807,210,27,6,8.0,8,8,1,19,+26.588,1892734.0,16.0,1:38.746,1,Término Competitivo
309,1139,815,9,11,11,9.0,9,9,0,19,+29.950,1896096.0,19.0,1:38.452,1,Término Competitivo
310,1139,857,1,81,16,10.0,10,10,0,19,+37.059,1903205.0,19.0,1:37.567,1,Término Competitivo
311,1139,852,215,22,9,11.0,11,11,0,19,+38.363,1904509.0,19.0,1:39.136,1,Término Competitivo
312,1139,861,3,43,10,12.0,12,12,0,19,+39.460,1905606.0,19.0,1:39.335,1,Término Competitivo
313,1139,840,117,18,13,13.0,13,13,0,19,+41.236,1907382.0,19.0,1:39.532,1,Término Competitivo
314,1139,842,214,10,12,14.0,14,14,0,19,+41.995,1908141.0,19.0,1:39.438,1,Término Competitivo
315,1139,839,214,31,17,15.0,15,15,0,19,+42.804,1908950.0,7.0,1:38.835,1,Término Competitivo
316,1139,859,215,30,15,16.0,16,16,0,19,+44.008,1910154.0,7.0,1:39.237,1,Término Competitivo
317,1139,848,3,23,0,17.0,17,17,0,19,+44.564,1910710.0,17.0,1:39.198,1,Término Competitivo
318,1139,4,117,14,14,18.0,18,18,0,19,+46.807,1912953.0,18.0,1:39.250,1,Término Competitivo
319,1139,855,15,24,19,19.0,19,19,0,19,+52.842,1918988.0,17.0,1:39.705,1,Término Competitivo
320,1139,822,15,77,18,20.0,20,20,0,19,+54.476,1920622.0,16.0,1:39.642,1,Término Competitivo
321,1141,846,1,4,2,1.0,1,1,8,24,29:46.045,1786045.0,15.0,1:11.917,1,Término Competitivo
322,1141,857,1,81,1,2.0,2,2,7,24,+0.593,1786638.0,17.0,1:11.783,1,Término Competitivo
323,1141,844,6,16,3,3.0,3,3,6,24,+5.656,1791701.0,3.0,1:11.914,1,Término Competitivo
324,1141,830,9,1,4,4.0,4,4,5,24,+6.497,1792542.0,18.0,1:11.852,1,Término Competitivo
325,1141,832,6,55,5,5.0,5,5,4,24,+7.224,1793269.0,17.0,1:11.975,1,Término Competitivo
326,1141,847,131,63,6,6.0,6,6,3,24,+12.475,1798520.0,12.0,1:12.142,1,Término Competitivo
327,1141,842,214,10,7,7.0,7,7,2,24,+18.161,1804206.0,19.0,1:12.400,1,Término Competitivo
328,1141,815,9,11,13,8.0,8,8,1,24,+18.717,1804762.0,24.0,1:11.678,1,Término Competitivo
329,1141,859,215,30,8,9.0,9,9,0,24,+20.773,1806818.0,18.0,1:12.596,1,Término Competitivo
330,1141,848,3,23,9,10.0,10,10,0,24,+24.606,1810651.0,24.0,1:11.692,1,Término Competitivo
331,1141,1,131,44,11,11.0,11,11,0,24,+29.764,1815809.0,21.0,1:12.546,1,Término Competitivo
332,1141,861,3,43,14,12.0,12,12,0,24,+33.233,1819278.0,15.0,1:12.701,1,Término Competitivo
333,1141,839,214,31,16,13.0,13,13,0,24,+34.128,1820173.0,16.0,1:12.882,1,Término Competitivo
334,1141,860,210,50,10,14.0,14,14,0,24,+35.507,1821552.0,4.0,1:12.974,1,Término Competitivo
335,1141,852,215,22,17,15.0,15,15,0,24,+41.374,1827419.0,14.0,1:12.838,1,Término Competitivo
336,1141,822,15,77,15,16.0,16,16,0,24,+43.231,1829276.0,24.0,1:12.698,1,Término Competitivo
337,1141,855,15,24,0,17.0,17,17,0,24,+54.139,1840184.0,3.0,1:13.559,1,Término Competitivo
338,1141,4,117,14,0,18.0,18,18,0,24,+56.537,1842582.0,16.0,1:13.111,1,Término Competitivo
339,1141,840,117,18,0,19.0,19,19,0,24,+57.983,1844028.0,3.0,1:13.560,1,Término Competitivo
340,1141,807,210,27,12,20.0,20,20,0,19,,,16.0,1:12.879,43,Falha Mecânica
341,1143,857,1,81,3,1.0,1,1,8,19,27:03.010,1623010.0,17.0,1:24.494,1,Término Competitivo
342,1143,846,1,4,1,2.0,2,2,7,19,+0.136,1623146.0,13.0,1:24.329,1,Término Competitivo
343,1143,847,131,63,2,3.0,3,3,6,19,+0.410,1623420.0,18.0,1:24.380,1,Término Competitivo
344,1143,832,6,55,4,4.0,4,4,5,19,+1.326,1624336.0,16.0,1:24.405,1,Término Competitivo
345,1143,844,6,16,5,5.0,5,5,4,19,+5.073,1628083.0,18.0,1:23.923,1,Término Competitivo
346,1143,1,131,44,7,6.0,6,6,3,19,+5.650,1628660.0,18.0,1:24.337,1,Término Competitivo
347,1143,807,210,27,9,7.0,7,7,2,19,+8.508,1631518.0,18.0,1:24.284,1,Término Competitivo
348,1143,830,9,1,6,8.0,8,8,1,19,+10.368,1633378.0,18.0,1:24.577,1,Término Competitivo
