resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,status_supercategory
24657,1032,825,210,20,15,12.0,12,12,0.0,70,,,69.0,11,1:08.009,228.569,11,Término Competitivo
24658,1032,154,210,8,0,13.0,13,13,0.0,70,,,69.0,12,1:08.047,228.442,11,Término Competitivo
24659,1032,841,51,99,19,14.0,14,14,0.0,70,,,54.0,15,1:08.512,226.891,11,Término Competitivo
24660,1032,842,213,10,7,15.0,15,15,0.0,70,,,69.0,8,1:07.827,229.183,11,Término Competitivo
24661,1032,847,3,63,11,16.0,16,16,0.0,69,,,36.0,16,1:08.601,226.597,12,Término Competitivo
24662,1032,849,3,6,18,17.0,17,17,0.0,69,,,68.0,17,1:08.806,225.922,12,Término Competitivo
24663,1032,839,4,31,5,,R,18,0.0,25,,,22.0,18,1:09.321,224.243,25,Falha Mecânica
24664,1032,844,6,16,14,,R,19,0.0,4,,,3.0,19,1:35.379,162.979,130,Incidente de Piloto
24665,1032,20,6,5,10,,R,20,0.0,1,,,,0,,,130,Incidente de Piloto
24666,1033,1,131,44,1,1.0,1,1,26.0,70,1:36:12.473,5772473.0,70.0,1,1:16.627,205.823,1,Término Competitivo
24667,1033,830,9,33,7,2.0,2,2,18.0,70,+8.702,5781175.0,60.0,4,1:19.184,199.176,1,Término Competitivo
24668,1033,822,131,77,2,3.0,3,3,15.0,70,+9.452,5781925.0,66.0,2,1:17.665,203.072,1,Término Competitivo
24669,1033,840,211,18,3,4.0,4,4,12.0,70,+57.579,5830052.0,68.0,3,1:18.973,199.708,1,Término Competitivo
24670,1033,848,9,23,13,5.0,5,5,10.0,70,+1:18.316,5850789.0,68.0,5,1:19.440,198.534,1,Término Competitivo
24671,1033,20,6,5,5,6.0,6,6,8.0,69,,,49.0,14,1:20.363,196.254,11,Término Competitivo
24672,1033,815,211,11,4,7.0,7,7,6.0,69,,,39.0,10,1:20.090,196.923,11,Término Competitivo
24673,1033,817,4,3,11,8.0,8,8,4.0,69,,,46.0,7,1:19.532,198.305,11,Término Competitivo
24674,1033,832,1,55,9,9.0,9,9,2.0,69,,,68.0,15,1:20.477,195.976,11,Término Competitivo
24675,1033,825,210,20,0,10.0,10,10,1.0,69,,,67.0,6,1:19.457,198.492,11,Término Competitivo
24676,1033,844,6,16,6,11.0,11,11,0.0,69,,,64.0,16,1:20.821,195.142,11,Término Competitivo
24677,1033,826,213,26,17,12.0,12,12,0.0,69,,,51.0,18,1:20.946,194.841,11,Término Competitivo
24678,1033,846,1,4,8,13.0,13,13,0.0,69,,,42.0,8,1:19.945,197.280,11,Término Competitivo
24679,1033,839,4,31,14,14.0,14,14,0.0,69,,,40.0,13,1:20.261,196.503,11,Término Competitivo
24680,1033,8,51,7,20,15.0,15,15,0.0,69,,,67.0,17,1:20.889,194.978,11,Término Competitivo
24681,1033,154,210,8,0,16.0,16,16,0.0,69,,,61.0,12,1:20.232,196.574,11,Término Competitivo
24682,1033,841,51,99,19,17.0,17,17,0.0,69,,,44.0,11,1:20.096,196.908,11,Término Competitivo
24683,1033,847,3,63,12,18.0,18,18,0.0,69,,,67.0,9,1:19.984,197.184,11,Término Competitivo
24684,1033,849,3,6,15,19.0,19,19,0.0,65,,,64.0,19,1:21.198,194.236,15,Término Competitivo
