Distance,Speed,Time,Driver,raceId,RaceName,LapNumber
980.0619444444442,173.0,0 days 00:00:17.105000,NOR,1122,Saudi Arabia,1
983.7021587806228,171.0499968,0 days 00:00:17.183000,NOR,1122,Saudi Arabia,1
991.9767905467684,166.5500032,0 days 00:00:17.363000,NOR,1122,Saudi Arabia,1
992.9730555555553,166.0,0 days 00:00:17.385000,NOR,1122,Saudi Arabia,1
1000.0280030575913,163.0374976,0 days 00:00:17.543000,NOR,1122,Saudi Arabia,1
1007.1508747032314,160.0187488,0 days 00:00:17.704000,NOR,1122,Saudi Arabia,1
1007.1952777777774,160.0,0 days 00:00:17.705000,NOR,1122,Saudi Arabia,1
1017.8834357410128,160.9958336,0 days 00:00:17.944000,NOR,1122,Saudi Arabia,1
1017.9286111111109,161.0,0 days 00:00:17.945000,NOR,1122,Saudi Arabia,1
1025.2161111111109,165.0,0 days 00:00:18.104000,NOR,1122,Saudi Arabia,1
1029.046042955944,168.71428571428572,0 days 00:00:18.184000,NOR,1122,Saudi Arabia,1
1039.0605555555553,178.0,0 days 00:00:18.384000,NOR,1122,Saudi Arabia,1
1047.3317872102286,183.0,0 days 00:00:18.544000,NOR,1122,Saudi Arabia,1
1055.7716666666665,188.0,0 days 00:00:18.704000,NOR,1122,Saudi Arabia,1
1058.9677624538826,189.0,0 days 00:00:18.764000,NOR,1122,Saudi Arabia,1
1069.7378962229177,192.33333333333334,0 days 00:00:18.964000,NOR,1122,Saudi Arabia,1
1075.1716666666664,194.0,0 days 00:00:19.064000,NOR,1122,Saudi Arabia,1
1078.4452836967525,195.125,0 days 00:00:19.124000,NOR,1122,Saudi Arabia,1
1083.9272222222219,197.0,0 days 00:00:19.224000,NOR,1122,Saudi Arabia,1
1092.7716666666663,199.0,0 days 00:00:19.384000,NOR,1122,Saudi Arabia,1
1093.880827526268,199.125,0 days 00:00:19.404000,NOR,1122,Saudi Arabia,1
1101.6605555555552,200.0,0 days 00:00:19.544000,NOR,1122,Saudi Arabia,1
1102.7739845230171,200.1,0 days 00:00:19.564000,NOR,1122,Saudi Arabia,1
